max accuracy: 0.89 | max split: 3 | max features: (u'danceability', u'valence', u'energy', u'tempo', u'acousticness', u'speechiness')
Track: (u"She's More", u'Andy Griggs') | Predicted:  Country | Actual: Country
Track: (u'This Is Me Missing You', u'James House') | Predicted:  Country | Actual: Country
Track: (u'If I Never Stop Loving You', u'David Kersh') | Predicted:  Country | Actual: Country
Track: (u'On Second Thought', u'Eddie Rabbitt') | Predicted:  Country | Actual: Country
Track: (u'My Heart Has A History', u'Paul Brandt') | Predicted:  Country | Actual: Country
Track: (u'Your Love Amazes Me', u'John Berry') | Predicted:  Country | Actual: Country
Track: (u'Star Of The Show', u'Thomas Rhett') | Predicted:  Country | Actual: Country
Track: (u'Written in the Sand', u'Old Dominion') | Predicted:  XXX | Actual: Country
Track: (u'Small Town Boy', u'Dustin Lynch') | Predicted:  Country | Actual: Country
Track: (u"Ain't Always Pretty", u'Logan Mize') | Predicted:  Country | Actual: Country
Track: (u'Meant to Be', u'Bebe Rexha') | Predicted:  Country | Actual: Country
Track: (u'Body Like A Back Road', u'Sam Hunt') | Predicted:  XXX | Actual: Country
Track: (u'Take Back Home Girl (Feat. Tori Kelly)', u'Chris Lane') | Predicted:  Country | Actual: Country
Track: (u'Losing Sleep', u'Chris Young') | Predicted:  XXX | Actual: Country
Track: (u'Close', u'Ryan Kinder') | Predicted:  Country | Actual: Country
Track: (u"I'm Gonna Miss You, Girl", u'Michael Martin Murphey') | Predicted:  Country | Actual: Country
Track: (u"I'll Be Faithful to You", u'Glen Campbell') | Predicted:  Country | Actual: Country
Track: (u'I Sure Can Smell the Rain', u'BlackHawk') | Predicted:  Country | Actual: Country
Track: (u"Don't Close Your Eyes", u'Keith Whitley') | Predicted:  Country | Actual: Country
Track: (u"She's In Love With The Boy", u'Trisha Yearwood') | Predicted:  Country | Actual: Country
Track: (u"My Life's Work", u'Boy Howdy') | Predicted:  Lit | Actual: Country
Track: (u"Killin' Time", u'Clint Black') | Predicted:  Country | Actual: Country
Track: (u'What Kind Of Fool Do You Think I Am', u'Lee Roy Parnell') | Predicted:  Country | Actual: Country
Track: (u'Pickup Man', u'Joe Diffie') | Predicted:  Lit | Actual: Country
Track: (u"Thinkin' Problem", u'David Ball') | Predicted:  Country | Actual: Country
Track: (u'Come and See Me (feat. Drake)', u'PARTYNEXTDOOR') | Predicted:  XXX | Actual: XXX
Track: (u'BeFoUr', u'ZAYN') | Predicted:  XXX | Actual: XXX
Track: (u'dRuNk', u'ZAYN') | Predicted:  XXX | Actual: XXX
Track: (u'The Morning', u'The Weeknd') | Predicted:  XXX | Actual: XXX
Track: (u'Back 2 U', u'Joey Gatto') | Predicted:  XXX | Actual: XXX
Track: (u'Sex With Me', u'Rihanna') | Predicted:  XXX | Actual: XXX
Track: (u'Weekend (feat. Miguel)', u'Mac Miller') | Predicted:  XXX | Actual: XXX
Track: (u'Heart Skipped a Beat', u'The xx') | Predicted:  XXX | Actual: XXX
Track: (u'Coffee (F***ing)', u'Miguel') | Predicted:  Country | Actual: XXX
Track: (u'Sure Thing', u'Miguel') | Predicted:  Lit | Actual: XXX
Track: (u'Bite My Tongue', u'The Beach') | Predicted:  XXX | Actual: XXX
Track: (u'Playing for You', u'Joe Hertz') | Predicted:  XXX | Actual: XXX
Track: (u'Passionfruit', u'Drake') | Predicted:  XXX | Actual: XXX
Track: (u'Keep On', u'Kehlani') | Predicted:  XXX | Actual: XXX
Track: (u'thankful', u'Meltycanon') | Predicted:  XXX | Actual: XXX
Track: (u'Gemini Feed', u'Banks') | Predicted:  XXX | Actual: XXX
Track: (u'Fuck With Myself', u'Banks') | Predicted:  XXX | Actual: XXX
Track: (u'Pink + White', u'Frank Ocean') | Predicted:  XXX | Actual: XXX
Track: (u'Ivy', u'Frank Ocean') | Predicted:  XXX | Actual: XXX
Track: (u'Attached', u'Mickey Blue') | Predicted:  XXX | Actual: XXX
Track: (u'The Way (feat. Chance the Rapper)', u'Kehlani') | Predicted:  XXX | Actual: XXX
Track: (u'My Love (feat. Drake)', u'Majid Jordan') | Predicted:  XXX | Actual: XXX
Track: (u'Tell Your Friends', u'The Weeknd') | Predicted:  XXX | Actual: XXX
Track: (u'Prisoner', u'The Weeknd') | Predicted:  XXX | Actual: XXX
Track: (u'Good For You', u'Selena Gomez') | Predicted:  XXX | Actual: XXX
Track: (u'SHY', u'The Magician') | Predicted:  Lit | Actual: Lit
Track: (u"Sonnentanz - Sun Don't Shine", u'Klangkarussell') | Predicted:  XXX | Actual: Lit
Track: (u'The Heat (I Wanna Dance With Somebody)', u'Ralph Felix') | Predicted:  Lit | Actual: Lit
Track: (u"Don't Let Me Down", u'The Chainsmokers') | Predicted:  XXX | Actual: Lit
Track: (u'Beautiful People - Radio Edit', u'Chris Brown') | Predicted:  Lit | Actual: Lit
Track: (u'All Stars', u'Martin Solveig') | Predicted:  Lit | Actual: Lit
Track: (u"The Girl Is Mine feat. Destiny's Child & Brandy", u'99 Souls') | Predicted:  Lit | Actual: Lit
Track: (u'Hunter', u'Galantis') | Predicted:  XXX | Actual: Lit
Track: (u'You Got Me Baby - Felon Remix', u'Lushington') | Predicted:  Lit | Actual: Lit
Track: (u'Rapture - Avicii New Generation Mix', u'Nadia Ali') | Predicted:  Country | Actual: Lit
Track: (u"Runnin'", u'Low Steppa') | Predicted:  Lit | Actual: Lit
Track: (u'I Used To Love You (feat. Francci Richard)', u'Jack wins') | Predicted:  Lit | Actual: Lit
Track: (u"They Don't Know", u'Solo Suspex') | Predicted:  Lit | Actual: Lit
Track: (u"You Don't Know Me - Radio Edit", u'Jax Jones') | Predicted:  Lit | Actual: Lit
Track: (u'Kickstarts - Radio Edit', u'Example') | Predicted:  Lit | Actual: Lit
Track: (u'How Deep Is Your Love', u'Calvin Harris') | Predicted:  Lit | Actual: Lit
Track: (u'Thinking About It - Radio Edit', u'Just Kiddin') | Predicted:  Lit | Actual: Lit
Track: (u'Real Life', u'Duke Dumont') | Predicted:  Lit | Actual: Lit
Track: (u'The Mack - David Zowie Remix', u'Nevada') | Predicted:  Lit | Actual: Lit
Track: (u'Instruction (feat. Demi Lovato & Stefflon Don)', u'Jax Jones') | Predicted:  Lit | Actual: Lit
Track: (u'Bump & Grind 2014 - Radio Edit', u'Waze & Odyssey') | Predicted:  Lit | Actual: Lit
Track: (u'Came Here for Love', u'Sigala') | Predicted:  Lit | Actual: Lit
Track: (u'Freak', u'R3HAB') | Predicted:  Lit | Actual: Lit
Track: (u'Be Right There', u'Diplo') | Predicted:  Lit | Actual: Lit
Track: (u'Fire (Spotie) [feat. Busy Signal]', u'Jus Now') | Predicted:  Lit | Actual: Lit
